Date,series,OPEN,HIGH,LOW,Previous_Close_Rate,ltp,Close_Rate,vwap,52W_H,52W_L,VOLUME,VALUE,No_of_trades,Daily_Change,7-Day_SMA,30-Day_SMA
28 October 2024,EQ,"4,068.95","4,134.00","4,051.00","4,057.55","4,090.05","4,090.85","4,092.04","4,592.25","3,311.00",1532534.00,6271197563.70,95406.00,0.008206923,"4,073.74","4,150.89"
25 October 2024,EQ,"4,057.05","4,092.00","4,032.70","4,047.90","4,060.00","4,057.55","4,063.37","4,592.25","3,311.00",1759676.00,7150208882.35,132353.00,0.002383952,"4,074.26","4,160.24"
24 October 2024,EQ,"4,004.00","4,079.00","4,004.00","4,066.25","4,050.00","4,047.90","4,048.73","4,592.25","3,311.00",2676744.00,10837400632.35,111747.00,-0.004512757,"4,081.66","4,173.46"
23 October 2024,EQ,"3,999.60","4,113.55","3,995.15","4,015.50","4,065.15","4,066.25","4,069.32","4,592.25","3,311.00",1966476.00,8002229160.45,129950.00,0.012638526,"4,092.76","4,186.33"
22 October 2024,EQ,"4,066.00","4,089.80","4,006.35","4,079.85","4,020.00","4,015.50","4,054.80","4,592.25","3,311.00",1928049.00,7817858767.15,178215.00,-0.015772639,"4,103.13","4,197.31"
21 October 2024,EQ,"4,132.60","4,139.95","4,070.00","4,123.05","4,071.00","4,079.85","4,096.64","4,592.25","3,311.00",1595450.00,6535979616.10,118454.00,-0.01047768,"4,129.61","4,210.77"
18 October 2024,EQ,"4,090.00","4,146.15","4,080.00","4,109.00","4,130.50","4,123.05","4,121.27","4,592.25","3,311.00",2361000.00,9730315576.70,160733.00,0.003419323,"4,151.25","4,220.70"
17 October 2024,EQ,"4,112.80","4,129.95","4,092.95","4,094.95","4,111.25","4,109.00","4,108.84","4,592.25","3,311.00",2522659.00,10365190148.65,215233.00,0.003431055,"4,167.53","4,229.22"
16 October 2024,EQ,"4,085.00","4,115.00","4,067.20","4,116.80","4,094.00","4,094.95","4,089.04","4,592.25","3,311.00",2359151.00,9646655679.40,192691.00,-0.00530752,"4,188.01","4,239.07"
15 October 2024,EQ,"4,131.05","4,169.95","4,095.00","4,136.65","4,119.00","4,116.80","4,119.31","4,592.25","3,311.00",2759474.00,11367123225.35,154340.00,-0.004798569,"4,207.67","4,252.29"
14 October 2024,EQ,"4,140.00","4,165.40","4,122.20","4,149.20","4,139.00","4,136.65","4,144.11","4,592.25","3,311.00",2137590.00,8858398067.15,140166.00,-0.003024679,"4,222.16","4,272.75"
11 October 2024,EQ,"4,143.00","4,241.95","4,112.45","4,227.40","4,146.00","4,149.20","4,164.41","4,592.25","3,311.00",5759183.00,23983586815.70,377816.00,-0.018498368,"4,241.07","4,292.57"
